day,equity,daily_return,exposure_ratio
20161104,60606.48,-0.007015,2.1449
20161107,60606.48,0.000000,0.0000
20161108,60265.73,-0.005622,4.0000
20161109,60516.12,0.004155,0.8289
20161110,59882.77,-0.010466,4.0000
20161111,59258.72,-0.010421,2.2477
20161114,59916.79,0.011105,1.8890
20161115,59916.79,0.000000,0.0000
20161116,61894.45,0.033007,4.0000
20161117,62907.41,0.016366,2.7112
20161118,62907.41,0.000000,0.0000
20161121,64566.33,0.026371,4.0000
20161122,64078.94,-0.007549,4.0000
20161123,63753.92,-0.005072,3.0972
20161125,63207.56,-0.008570,4.0000
20161128,62837.74,-0.005851,4.0000
20161129,62406.49,-0.006863,4.0000
20161130,65052.95,0.042407,3.8707
20161201,67525.36,0.038006,2.9143
20161202,66812.97,-0.010550,2.9556
20161205,66113.53,-0.010469,2.5102
20161206,65412.74,-0.010600,3.2232
20161207,64844.97,-0.008680,4.0000
20161208,64844.97,0.000000,0.0000
20161209,65380.40,0.008257,4.0000
20161212,64711.49,-0.010231,4.0000
20161213,66695.08,0.030653,4.0000
20161214,66045.67,-0.009737,4.0000
20161215,65349.04,-0.010548,2.9991
20161216,64797.89,-0.008434,4.0000
20161219,64399.38,-0.006150,4.0000
20161220,63878.05,-0.008095,4.0000
20161221,63403.47,-0.007429,4.0000
20161222,63562.96,0.002515,3.9798
20161223,63131.09,-0.006794,4.0000
20161227,63645.97,0.008156,4.0000
20161228,63645.97,0.000000,0.0000
20161229,63192.15,-0.007130,4.0000
20161230,65180.87,0.031471,3.4977
20170103,64517.49,-0.010178,4.0000
20170104,64551.96,0.000534,2.4725
20170105,65405.61,0.013224,3.7393
20170106,64715.59,-0.010550,3.0014
20170109,64218.87,-0.007675,4.0000
20170110,64356.19,0.002138,4.0000
20170111,63843.39,-0.007968,4.0000
20170112,63322.47,-0.008159,4.0000
20170113,63518.82,0.003101,4.0000
20170117,63115.94,-0.006343,4.0000
20170118,62530.59,-0.009274,4.0000
20170119,62196.67,-0.005340,4.0000
20170120,61624.07,-0.009206,4.0000
20170123,60966.47,-0.010671,3.7123
20170124,60543.29,-0.006941,4.0000
20170125,60543.29,0.000000,0.0000
20170126,60543.29,0.000000,0.0000
20170127,60302.17,-0.003983,4.0000
20170130,60755.34,0.007515,4.0000
20170131,60257.04,-0.008202,4.0000
20170201,59882.59,-0.006214,4.0000
20170202,59248.50,-0.010589,3.2649
20170203,58917.55,-0.005586,4.0000
20170206,58645.16,-0.004623,4.0000
20170207,58839.96,0.003322,4.0000
20170208,58493.95,-0.005880,4.0000
20170209,58853.22,0.006142,4.0000
20170210,58898.59,0.000771,4.0000
20170213,59312.14,0.007021,4.0000
20170214,58893.79,-0.007053,4.0000
20170215,60165.76,0.021598,4.0000
20170216,59690.31,-0.007902,4.0000
20170217,59690.31,0.000000,0.0000
20170221,60303.16,0.010267,4.0000
20170222,60088.43,-0.003561,4.0000
20170223,60924.53,0.013914,4.0000
20170224,60924.53,0.000000,0.0000
20170227,60556.70,-0.006038,4.0000
20170228,61084.56,0.008717,4.0000
20170301,60643.09,-0.007227,4.0000
20170302,61408.05,0.012614,4.0000
20170303,61058.38,-0.005694,4.0000
20170306,61046.90,-0.000188,4.0000
20170307,60624.28,-0.006923,4.0000
20170308,60624.28,0.000000,0.0000
20170309,59999.35,-0.010308,4.0000
20170310,59658.95,-0.005674,4.0000
20170313,59357.84,-0.005047,4.0000
20170314,59093.21,-0.004458,4.0000
20170315,58704.08,-0.006585,4.0000
20170316,58704.08,0.000000,0.0000
20170317,58371.89,-0.005659,4.0000
20170320,58067.80,-0.005210,4.0000
20170321,57828.34,-0.004124,4.0000
20170322,57284.31,-0.009408,4.0000
20170323,56781.13,-0.008784,4.0000
20170324,56336.99,-0.007822,4.0000
20170327,57873.99,0.027282,3.5280
20170328,57447.63,-0.007367,4.0000
20170329,57139.74,-0.005360,4.0000
20170330,56800.53,-0.005936,4.0000
20170331,56800.53,0.000000,0.0000
20170403,56395.43,-0.007132,4.0000
20170404,56008.82,-0.006855,4.0000
20170405,56978.10,0.017306,4.0000
20170406,56638.96,-0.005952,4.0000
20170407,56198.42,-0.007778,4.0000
20170410,55745.69,-0.008056,4.0000
20170411,55169.31,-0.010340,4.0000
20170412,54772.02,-0.007201,4.0000
20170413,54410.50,-0.006600,4.0000
20170417,55205.53,0.014612,4.0000
20170418,54690.38,-0.009332,4.0000
20170419,54290.50,-0.007312,4.0000
20170420,53918.53,-0.006852,4.0000
20170421,53451.97,-0.008653,4.0000
20170424,53121.69,-0.006179,4.0000
20170425,53899.93,0.014650,4.0000
20170426,53899.93,0.000000,0.0000
20170427,53649.44,-0.004647,4.0000
20170428,53898.13,0.004635,4.0000
20170501,54786.35,0.016480,4.0000
20170502,54471.01,-0.005756,4.0000
20170503,54363.78,-0.001969,4.0000
20170504,53915.08,-0.008254,4.0000
20170505,53699.14,-0.004005,4.0000
20170508,53359.91,-0.006317,4.0000
20170509,53564.37,0.003832,4.0000
20170510,53273.54,-0.005430,4.0000
20170511,53092.06,-0.003407,4.0000
20170512,52758.37,-0.006285,4.0000
20170515,53141.95,0.007271,4.0000
20170516,52839.86,-0.005685,4.0000
20170517,52416.62,-0.008010,4.0000
20170518,53437.11,0.019469,2.9406
20170519,53270.41,-0.003120,4.0000
20170522,54064.30,0.014903,3.8767
20170523,54067.67,0.000062,4.0000
20170524,53776.19,-0.005391,4.0000
20170525,53379.96,-0.007368,4.0000
20170526,52942.94,-0.008187,4.0000
20170530,52975.53,0.000615,4.0000
20170531,53621.08,0.012186,4.0000
20170601,53320.87,-0.005599,4.0000
20170602,52963.76,-0.006697,4.0000
20170605,52963.76,0.000000,0.0000
20170606,53365.40,0.007583,4.0000
20170607,53099.41,-0.004984,4.0000
20170608,53012.53,-0.001636,4.0000
20170609,52682.13,-0.006233,4.0000
20170612,52138.16,-0.010325,1.8820
20170613,51595.64,-0.010406,4.0000
20170614,52933.45,0.025929,4.0000
20170615,52370.02,-0.010644,4.0000
20170616,51819.36,-0.010515,2.9808
20170619,51819.36,0.000000,0.0000
20170620,51265.98,-0.010679,3.9547
20170621,50858.50,-0.007949,4.0000
20170622,50412.91,-0.008761,4.0000
20170623,50062.47,-0.006951,4.0000
20170626,49600.10,-0.009236,4.0000
20170627,50796.15,0.024114,2.3483
20170628,50796.15,0.000000,0.0000
20170629,52139.25,0.026441,2.7572
